DATE,GDPDEF
1959-01-01,16.4132500000000000
1960-01-01,16.6380000000000000
1961-01-01,16.8140000000000000
1962-01-01,17.0190000000000000
1963-01-01,17.2137500000000000
1964-01-01,17.4767500000000000
1965-01-01,17.7955000000000000
1966-01-01,18.2945000000000000
1967-01-01,18.8252500000000000
1968-01-01,19.6257500000000000
1969-01-01,20.5900000000000000
1970-01-01,21.6772500000000000
1971-01-01,22.7747500000000000
1972-01-01,23.7565000000000000
1973-01-01,25.0605000000000000
1974-01-01,27.3225000000000000
1975-01-01,29.8405000000000000
1976-01-01,31.4877500000000000
1977-01-01,33.4400000000000000
1978-01-01,35.7845000000000000
1979-01-01,38.7665000000000000
1980-01-01,42.2740000000000000
1981-01-01,46.2737500000000000
1982-01-01,49.1317500000000000
1983-01-01,51.0447500000000000
1984-01-01,52.8917500000000000
1985-01-01,54.5665000000000000
1986-01-01,55.6680000000000000
1987-01-01,57.0402500000000000
1988-01-01,59.0510000000000000
1989-01-01,61.3700000000000000
1990-01-01,63.6722500000000000
1991-01-01,65.8217500000000000
1992-01-01,67.3197500000000000
1993-01-01,68.9162500000000000
1994-01-01,70.3870000000000000
1995-01-01,71.8645000000000000
1996-01-01,73.1792500000000000
1997-01-01,74.4417500000000000
1998-01-01,75.2792500000000000
1999-01-01,76.3655000000000000
2000-01-01,78.0732500000000000
2001-01-01,79.7897500000000000
2002-01-01,81.0505000000000000
2003-01-01,82.5510000000000000
2004-01-01,84.7730000000000000
2005-01-01,87.4147500000000000
2006-01-01,90.0637500000000000
2007-01-01,92.4825000000000000
2008-01-01,94.2887500000000000
2009-01-01,95.0027500000000000
2010-01-01,96.1067500000000000
2011-01-01,98.1152500000000000
2012-01-01,99.9987500000000000
2013-01-01,101.7512500000000000
2014-01-01,103.6322500000000000
2015-01-01,104.7155000000000000
2016-01-01,105.7980000000000000
2017-01-01,107.7887500000000000
2018-01-01,110.4147500000000000
2019-01-01,112.3420000000000000
2020-01-01,.
